GI,Regulators,Regulators
GI:126699729,sigG,
GI:126697677,sigE,
GI:126698856,sigE,
GI:126699031,sigE,
GI:126699037,sigE,sigK
GI:126699034,sigG,
GI:126699217,sigE,sigK
GI:126699454,sigE,sigK
GI:126699455,sigE,sigK
GI:126700302,sigG,
GI:126698274,sigE,
GI:126698672,sigE,
GI:126701207,sigE,sigK
GI:126699549,sigE,
GI:126700474,sigE,
GI:126700010,sigE,
GI:126700480,sigE,
GI:126700481,sigE,sigF
GI:126699738,sigE,
GI:126700799,sigE,
GI:126700797,sigE,
GI:126700850,sigE,sigK
GI:126698648,sigE,sigK
GI:126698649,sigE,sigK
GI:126698647,sigE,
GI:126697697,sigF,
GI:126698888,sigG,
GI:126698887,sigF,sigG
GI:126698882,sigF,
GI:126701238,sigG,
GI:126697785,sigE,sigG
GI:400927325,sigE,
GI:400927323,sigE,
GI:126700397,sigE,
GI:126700650,sigE,sigK
GI:126700015,sigE,sigK
GI:126700014,sigE,sigK
GI:126700016,sigE,sigK
GI:126700461,sigG,
GI:126700275,sigF,
GI:126697696,sigE,
GI:126697692,sigE,sigK
GI:126697698,sigE,
GI:126700870,sigE,
GI:126700877,sigE,
GI:126700876,sigE,
GI:126699758,sigF,
