GI,Regulators,Regulators2
GI:16080046,sigK,
GI:16078209,spo0A,
GI:16078208,spo0A,
GI:16078200,sigE,
GI:16078751,sigG,
GI:16078206,sigF,
GI:255767221,sigG,
GI:255767225,sigE,
GI:255767380,sigG,
GI:255767016,sigE,
GI:16080260,sigF,
GI:16080263,sigE,
GI:255767351,sigE,
GI:255767352,spo0A,
GI:255767353,spo0A,
GI:16079884,sigE,sigK
GI:16079885,sigE,
GI:16079888,sigE,
GI:16077233,sigE,
GI:16077234,sigE,
GI:16077781,sigF,
GI:16077780,sigE,
GI:16077833,sigE,
GI:16078299,sigE,
GI:16080676,sigE,
GI:16079606,sigE,sigF
GI:16077166,spo0A,
GI:16080707,sigF,
GI:16080709,sigE,
GI:16080708,sigF,
GI:16080814,sigF,sigG
GI:50812210,sigE,sigK
GI:50812214,sigK,
GI:50812215,sigK,
GI:255767150,sigE,
GI:16078430,spo0A,
GI:16080924,sigF,
GI:16079347,sigF,
GI:16079343,sigF,
GI:16079342,sigF,
GI:16079349,sigG,
GI:255767198,spo0A,
GI:16079507,sigE,
GI:16079506,sigF,
GI:16079500,sigE,
GI:16079502,unknown,
GI:16078103,sigF,
GI:16078104,sigE,
GI:16080506,sigK,
GI:255767212,sigE,sigK
GI:255767217,sigE,
GI:16079862,sigE,
GI:16079863,sigE,
GI:255767795,sigE,sigK
GI:16079852,spo0A,
GI:16078212,spo0A,
GI:16078210,spo0A,
GI:16078211,spo0A,
GI:16079624,sigK,
GI:255767236,sigG,
GI:255767796,sigK,
GI:255767699,sigK,
GI:16080258,sigE,
GI:16079811,sigF,sigG
GI:255767340,sigF,
GI:255767347,sigE,
GI:16080842,sigK,
GI:255767349,sigE,
GI:16077224,sigE,
GI:16077225,sigE,
GI:16077223,sigF,sigG
GI:16077220,sigG,
GI:16077221,sigE,sigG
GI:16077828,sigE,
GI:16077798,sigE,sigK
GI:16077797,sigE,sigK
GI:16077795,sigK,
GI:16077792,sigE,
GI:16080660,sigE,sigK
GI:255767696,sigE,sigK
GI:16078840,sigG,
GI:16078435,sigE,
GI:16077957,sigE,
GI:16080711,sigF,
GI:16080712,sigE,
GI:16078927,sigK,
GI:50812199,sigG,
GI:16077552,sigG,
GI:16080802,unknown,
GI:50812223,sigK,
GI:16077882,sigE,
GI:16078911,sigK,
GI:16079354,sigK,
GI:16079355,sigE,
GI:16079350,sigG,
GI:16080338,sigG,
GI:16079511,sigG,
GI:16079516,spo0A,
GI:16079517,spo0A,
GI:16079514,sigF,
GI:16079515,sigF,
GI:16078591,sigE,
GI:16078595,spo0A,
GI:16080060,sigE,
GI:16080324,sigG,
GI:255767754,sigF,sigG
GI:16078001,sigE,sigG
GI:16078000,sigE,
GI:255767208,sigE,
GI:16077624,sigK,
GI:255767584,sigE,
GI:255767596,spo0A,
GI:255767594,sigF,
GI:255767595,sigK,
