gene_id,spor_gene,unkownSpor_host,nonSpor_host,spor_host,q,m,n,k,p.val,p.adj,significant
K02873,other,4,0,0,0,25630,27634,0,0,0,FALSE
K02874,other,10,12,36,36,25630,27634,48,3.904e-5,1.1722e-4,FALSE
K02876,other,10,10,20,20,25630,27634,30,0.012798,0.032295,FALSE
K02877,other,2,0,0,0,25630,27634,0,0,0,FALSE
K02878,other,7,8,20,20,25630,27634,28,0.0035224,0.0094089,FALSE
K02879,other,4,4,4,4,25630,27634,8,0.32295,0.58566,FALSE
K02881,other,10,10,22,22,25630,27634,32,0.0055782,0.014637,FALSE
K02882,other,1,0,0,0,25630,27634,0,0,0,FALSE
K02883,other,2,0,0,0,25630,27634,0,0,0,FALSE
K02884,other,5,5,4,4,25630,27634,9,0.45379,0.70893,FALSE
K02885,other,2,0,0,0,25630,27634,0,0,0,FALSE
K02886,other,16,18,40,40,25630,27634,58,4.1359e-4,0.001182,FALSE
K02887,other,7,8,1,1,25630,27634,9,0.97455,1,FALSE
K02888,other,3,3,2,2,25630,27634,5,0.46476,0.70893,FALSE
K02890,other,18,16,40,40,25630,27634,56,1.1866e-4,3.4921e-4,FALSE
K02892,other,16,18,36,36,25630,27634,54,0.0019511,0.0053814,FALSE
K02894,other,2,0,0,0,25630,27634,0,0,0,FALSE
K02895,other,10,12,36,36,25630,27634,48,3.904e-5,1.1722e-4,FALSE
K02897,other,0,2,1,1,25630,27634,3,0.47179,0.70893,FALSE
K02898,other,3,0,0,0,25630,27634,0,0,0,FALSE
K02899,other,3,4,2,2,25630,27634,6,0.62036,0.87485,FALSE
K02902,other,1,3,1,1,25630,27634,4,0.65877,0.9181,FALSE
K02904,other,14,16,40,40,25630,27634,56,1.1866e-4,3.4921e-4,FALSE
K02906,other,16,18,30,30,25630,27634,48,0.015919,0.039747,FALSE
K02907,other,4,10,20,20,25630,27634,30,0.012798,0.032295,FALSE
K02909,other,6,12,7,7,25630,27634,19,0.77378,0.99426,FALSE
K02910,other,6,0,0,0,25630,27634,0,0,0,FALSE
K02911,other,7,1,4,4,25630,27634,5,0.025792,0.062683,FALSE
K02913,other,3,3,3,3,25630,27634,6,0.30916,0.56671,FALSE
K02914,other,0,3,1,1,25630,27634,4,0.65877,0.9181,FALSE
K02915,other,2,0,0,0,25630,27634,0,0,0,FALSE
K02916,other,2,7,1,1,25630,27634,8,0.95582,1,FALSE
K02917,other,6,0,0,0,25630,27634,0,0,0,FALSE
K02919,other,3,3,3,3,25630,27634,6,0.30916,0.56671,FALSE
K02921,other,2,0,0,0,25630,27634,0,0,0,FALSE
K02926,other,9,9,16,16,25630,27634,25,0.036133,0.086399,FALSE
K02931,other,10,14,36,36,25630,27634,50,1.7608e-4,5.1184e-4,FALSE
K02933,other,10,10,22,22,25630,27634,32,0.0055782,0.014637,FALSE
K02935,other,5,11,6,6,25630,27634,17,0.79188,1,FALSE
K02937,other,1,0,0,0,25630,27634,0,0,0,FALSE
K02939,other,11,4,1,1,25630,27634,5,0.78811,1,FALSE
K02940,other,1,0,0,0,25630,27634,0,0,0,FALSE
K02945,other,23,16,4,4,25630,27634,20,0.99067,1,FALSE
K02946,other,16,18,24,24,25630,27634,42,0.09244,0.20551,FALSE
K02948,other,4,8,10,10,25630,27634,18,0.19298,0.38858,FALSE
K02950,other,14,22,26,26,25630,27634,48,0.16269,0.33267,FALSE
K02951,other,1,0,0,0,25630,27634,0,0,0,FALSE
K02952,other,6,8,10,10,25630,27634,18,0.19298,0.38858,FALSE
K02953,other,2,0,0,0,25630,27634,0,0,0,FALSE
K02954,other,8,14,28,28,25630,27634,42,0.0049482,0.013099,FALSE
K02955,other,1,0,0,0,25630,27634,0,0,0,FALSE
K02956,other,2,14,4,4,25630,27634,18,0.97729,1,FALSE
K02959,other,7,11,4,4,25630,27634,15,0.92152,1,FALSE
K02960,other,1,0,0,0,25630,27634,0,0,0,FALSE
K02961,other,14,12,36,36,25630,27634,48,3.904e-5,1.1722e-4,FALSE
K02963,other,4,4,3,3,25630,27634,7,0.4589,0.70893,FALSE
K02965,other,16,16,40,40,25630,27634,56,1.1866e-4,3.4921e-4,FALSE
K02966,other,2,0,0,0,25630,27634,0,0,0,FALSE
K02967,other,8,22,10,10,25630,27634,32,0.95972,1,FALSE
K02968,other,5,6,4,4,25630,27634,10,0.57598,0.83003,FALSE
K02969,other,1,0,0,0,25630,27634,0,0,0,FALSE
K02970,other,3,3,2,2,25630,27634,5,0.46476,0.70893,FALSE
K02973,other,2,0,0,0,25630,27634,0,0,0,FALSE
K02974,other,2,0,0,0,25630,27634,0,0,0,FALSE
K02977,other,0,0,2,2,25630,27634,2,0,0,FALSE
K02982,other,16,18,40,40,25630,27634,58,4.1359e-4,0.001182,FALSE
K02986,other,2,8,12,12,25630,27634,20,0.098725,0.21804,FALSE
K02988,other,10,10,22,22,25630,27634,32,0.0055782,0.014637,FALSE
K02990,other,9,5,5,5,25630,27634,10,0.3316,0.59497,FALSE
K02991,other,2,0,0,0,25630,27634,0,0,0,FALSE
K02992,other,12,24,18,18,25630,27634,42,0.70058,0.94937,FALSE
K02993,other,1,0,0,0,25630,27634,0,0,0,FALSE
K02994,other,10,10,28,28,25630,27634,38,3.6851e-4,0.0010634,FALSE
K02995,other,4,0,0,0,25630,27634,0,0,0,FALSE
K02996,other,18,22,12,12,25630,27634,34,0.90816,1,FALSE
K02998,other,1,0,0,0,25630,27634,0,0,0,FALSE
K03179,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K03181,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K03186,other,1,0,0,0,25630,27634,0,0,0,FALSE
K03340,other,5,3,0,0,25630,27634,3,0.86036,1,FALSE
K03385,other,1,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K03388,other,16,0,0,0,25630,27634,0,0,0,FALSE
K03389,other,12,0,0,0,25630,27634,0,0,0,FALSE
K03390,other,8,0,0,0,25630,27634,0,0,0,FALSE
K03394,other,0,6,4,4,25630,27634,10,0.57598,0.83003,FALSE
K03475,other,0,0,1,1,25630,27634,1,0,0,FALSE
K03518,other,1,0,5,5,25630,27634,5,0,0,FALSE
K03523,other,6,8,10,10,25630,27634,18,0.19298,0.38858,FALSE
K03612,other,2,6,5,5,25630,27634,11,0.44919,0.70893,FALSE
K03613,other,2,6,6,6,25630,27634,12,0.33734,0.59659,FALSE
K03614,other,4,6,6,6,25630,27634,12,0.33734,0.59659,FALSE
K03615,other,3,6,6,6,25630,27634,12,0.33734,0.59659,FALSE
K03616,other,4,6,8,8,25630,27634,14,0.17293,0.35059,FALSE
K03617,other,3,6,5,5,25630,27634,11,0.44919,0.70893,FALSE
K03661,other,1,0,0,0,25630,27634,0,0,0,FALSE
K03737,other,34,50,60,60,25630,27634,110,0.074115,0.16679,FALSE
K03778,other,1,3,1,1,25630,27634,4,0.65877,0.9181,FALSE
K03785,other,3,0,6,6,25630,27634,6,0,0,FALSE
K03786,other,6,4,2,2,25630,27634,6,0.62036,0.87485,FALSE
K03856,other,2,3,0,0,25630,27634,3,0.86036,1,FALSE
K03943,other,1,0,0,0,25630,27634,0,0,0,FALSE
K03950,other,2,0,0,0,25630,27634,0,0,0,FALSE
K03954,other,1,0,0,0,25630,27634,0,0,0,FALSE
K03955,other,1,0,0,0,25630,27634,0,0,0,FALSE
K04041,other,21,42,3,3,25630,27634,45,1,1,FALSE
K04069,other,19,14,12,12,25630,27634,26,0.5007,0.73585,FALSE
K04070,other,2,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K04072,other,6,5,4,4,25630,27634,9,0.45379,0.70893,FALSE
K04102,other,1,0,0,0,25630,27634,0,0,0,FALSE
K04486,other,6,5,5,5,25630,27634,10,0.3316,0.59497,FALSE
K04516,other,6,8,2,2,25630,27634,10,0.93081,1,FALSE
K04517,other,1,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K04518,other,2,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K05776,other,3,4,0,0,25630,27634,4,0.92756,1,FALSE
K05832,other,2,4,2,2,25630,27634,6,0.62036,0.87485,FALSE
K05833,other,2,5,2,2,25630,27634,7,0.74144,0.96104,FALSE
K05845,other,2,0,0,0,25630,27634,0,0,0,FALSE
K05846,other,4,0,0,0,25630,27634,0,0,0,FALSE
K05847,other,2,0,0,0,25630,27634,0,0,0,FALSE
K05895,other,0,2,2,2,25630,27634,4,0.28482,0.52946,FALSE
K05934,other,0,2,4,4,25630,27634,6,0.092705,0.20551,FALSE
K05936,other,2,0,4,4,25630,27634,4,0,0,FALSE
K06001,other,1,4,0,0,25630,27634,4,0.92756,1,FALSE
K06016,other,1,0,0,0,25630,27634,0,0,0,FALSE
K06042,other,0,2,2,2,25630,27634,4,0.28482,0.52946,FALSE
K06209,other,0,0,2,2,25630,27634,2,0,0,FALSE
K06861,other,2,6,0,0,25630,27634,6,0.9805,1,FALSE
K07091,other,0,6,0,0,25630,27634,6,0.9805,1,FALSE
K07173,other,17,17,2,2,25630,27634,19,0.99936,1,FALSE
K07323,other,1,0,0,0,25630,27634,0,0,0,FALSE
K07404,other,3,6,3,3,25630,27634,9,0.70772,0.94937,FALSE
K07590,other,0,2,1,1,25630,27634,3,0.47179,0.70893,FALSE
K08289,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K08678,other,1,5,1,1,25630,27634,6,0.87199,1,FALSE
K09011,other,0,3,0,0,25630,27634,3,0.86036,1,FALSE
K09690,other,1,0,0,0,25630,27634,0,0,0,FALSE
K09691,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K09692,other,4,0,1,1,25630,27634,1,0,0,FALSE
K09693,other,4,1,1,1,25630,27634,2,0.23154,0.44797,FALSE
K09696,other,0,0,1,1,25630,27634,1,0,0,FALSE
K09697,other,0,0,1,1,25630,27634,1,0,0,FALSE
K09808,other,6,14,0,0,25630,27634,14,0.9999,1,FALSE
K09810,other,2,5,0,0,25630,27634,5,0.96242,1,FALSE
K09815,other,8,8,0,0,25630,27634,8,0.99475,1,FALSE
K09816,other,1,4,0,0,25630,27634,4,0.92756,1,FALSE
K09817,other,3,5,0,0,25630,27634,5,0.96242,1,FALSE
K09882,other,15,4,0,0,25630,27634,4,0.92756,1,FALSE
K09969,other,2,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K10009,other,0,8,0,0,25630,27634,8,0.99475,1,FALSE
K10010,other,0,4,0,0,25630,27634,4,0.92756,1,FALSE
K10018,other,0,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K10020,other,0,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K10036,other,4,6,0,0,25630,27634,6,0.9805,1,FALSE
K10037,other,2,0,0,0,25630,27634,0,0,0,FALSE
K10108,other,0,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K10109,other,0,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K10110,other,0,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K10111,other,0,8,0,0,25630,27634,8,0.99475,1,FALSE
K10112,other,40,50,50,50,25630,27634,100,0.31644,0.57916,FALSE
K10117,other,3,3,6,6,25630,27634,9,0.072666,0.16384,FALSE
K10118,other,2,2,1,1,25630,27634,3,0.47179,0.70893,FALSE
K10119,other,2,2,1,1,25630,27634,3,0.47179,0.70893,FALSE
K10188,other,1,0,0,0,25630,27634,0,0,0,FALSE
K10189,other,1,0,0,0,25630,27634,0,0,0,FALSE
K10190,other,1,0,0,0,25630,27634,0,0,0,FALSE
K10200,other,1,0,0,0,25630,27634,0,0,0,FALSE
K10202,other,5,0,0,0,25630,27634,0,0,0,FALSE
K10206,other,8,8,8,8,25630,27634,16,0.34398,0.60439,FALSE
K10439,other,4,0,3,3,25630,27634,3,0,0,FALSE
K10440,other,1,2,4,4,25630,27634,6,0.092705,0.20551,FALSE
K10441,other,2,1,2,2,25630,27634,3,0.11141,0.23553,FALSE
K10540,other,1,2,3,3,25630,27634,5,0.16486,0.33653,FALSE
K10541,other,0,2,1,1,25630,27634,3,0.47179,0.70893,FALSE
K10542,other,1,2,1,1,25630,27634,3,0.47179,0.70893,FALSE
K10546,other,1,0,0,0,25630,27634,0,0,0,FALSE
K10547,other,2,0,0,0,25630,27634,0,0,0,FALSE
K10548,other,1,0,0,0,25630,27634,0,0,0,FALSE
K11003,other,1,0,0,0,25630,27634,0,0,0,FALSE
K11050,other,2,0,0,0,25630,27634,0,0,0,FALSE
K11051,other,2,0,1,1,25630,27634,1,0,0,FALSE
K11069,other,10,10,15,15,25630,27634,25,0.082078,0.18436,FALSE
K11070,other,8,9,12,12,25630,27634,21,0.14775,0.30369,FALSE
K11071,other,8,9,12,12,25630,27634,21,0.14775,0.30369,FALSE
K11072,other,9,9,11,11,25630,27634,20,0.20061,0.3992,FALSE
K11073,other,1,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K11075,other,1,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K11076,other,1,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K11175,other,4,3,2,2,25630,27634,5,0.46476,0.70893,FALSE
K11202,other,1,0,0,0,25630,27634,0,0,0,FALSE
K11203,other,1,0,0,0,25630,27634,0,0,0,FALSE
K11381,other,0,3,0,0,25630,27634,3,0.86036,1,FALSE
K11720,other,1,7,0,0,25630,27634,7,0.98989,1,FALSE
K11755,other,1,5,0,0,25630,27634,5,0.96242,1,FALSE
K11959,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K11960,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K11961,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K11962,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K11963,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K12340,other,4,20,0,0,25630,27634,20,1,1,FALSE
K12368,other,4,0,0,0,25630,27634,0,0,0,FALSE
K12447,other,6,0,0,0,25630,27634,0,0,0,FALSE
K12524,other,15,10,0,0,25630,27634,10,0.99859,1,FALSE
K12532,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K13378,other,1,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K13542,other,2,0,0,0,25630,27634,0,0,0,FALSE
K13788,other,0,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K13800,other,1,0,0,0,25630,27634,0,0,0,FALSE
K13829,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K13889,other,0,0,1,1,25630,27634,1,0,0,FALSE
K13893,other,1,0,0,0,25630,27634,0,0,0,FALSE
K13894,other,1,0,0,0,25630,27634,0,0,0,FALSE
K13990,other,1,3,0,0,25630,27634,3,0.86036,1,FALSE
K14138,other,0,1,2,2,25630,27634,3,0.11141,0.23553,FALSE
K14187,other,0,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K14267,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K14534,other,0,0,4,4,25630,27634,4,0,0,FALSE
K15023,other,0,0,1,1,25630,27634,1,0,0,FALSE
K15024,other,1,0,2,2,25630,27634,2,0,0,FALSE
K15552,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K15553,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K15554,other,1,0,0,0,25630,27634,0,0,0,FALSE
K15555,other,2,0,0,0,25630,27634,0,0,0,FALSE
K15556,other,1,0,0,0,25630,27634,0,0,0,FALSE
K15557,other,1,0,0,0,25630,27634,0,0,0,FALSE
K15558,other,1,0,0,0,25630,27634,0,0,0,FALSE
K15584,other,2,0,0,0,25630,27634,0,0,0,FALSE
K15585,other,1,0,0,0,25630,27634,0,0,0,FALSE
K15634,other,3,9,0,0,25630,27634,9,0.99728000000000006,1,FALSE
K15635,other,3,9,0,0,25630,27634,9,0.99728000000000006,1,FALSE
K16092,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K16785,other,6,3,9,9,25630,27634,12,0.013962,0.035008,FALSE
K16786,other,5,3,10,10,25630,27634,13,0.0078306,0.020248,FALSE
K16787,other,5,3,9,9,25630,27634,12,0.013962,0.035008,FALSE
K16923,other,1,0,0,0,25630,27634,0,0,0,FALSE
K16924,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K16925,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K16926,other,0,0,3,3,25630,27634,3,0,0,FALSE
K16927,other,2,0,1,1,25630,27634,1,0,0,FALSE
K16960,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K17073,other,0,0,1,1,25630,27634,1,0,0,FALSE
K17074,other,0,0,2,2,25630,27634,2,0,0,FALSE
K17076,other,0,0,2,2,25630,27634,2,0,0,FALSE
K17077,other,3,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K17202,other,0,0,1,1,25630,27634,1,0,0,FALSE
K17203,other,0,0,1,1,25630,27634,1,0,0,FALSE
K17204,other,0,0,1,1,25630,27634,1,0,0,FALSE
K17213,other,1,0,0,0,25630,27634,0,0,0,FALSE
K17215,other,1,0,0,0,25630,27634,0,0,0,FALSE
K17246,other,1,0,0,0,25630,27634,0,0,0,FALSE
K17318,other,8,2,13,13,25630,27634,15,2.9435e-4,8.5354e-4,FALSE
K17319,other,7,3,5,5,25630,27634,8,0.1212,0.25307,FALSE
K17320,other,6,3,6,6,25630,27634,9,0.072666,0.16384,FALSE
K17324,other,1,0,0,0,25630,27634,0,0,0,FALSE
K17325,other,1,0,0,0,25630,27634,0,0,0,FALSE
K17398,other,31,9,22,22,25630,27634,31,0.0028741,0.0077294,FALSE
K17743,other,2,0,0,0,25630,27634,0,0,0,FALSE
K17828,other,3,3,4,4,25630,27634,7,0.19686,0.3924,FALSE
K17992,other,0,0,1,1,25630,27634,1,0,0,FALSE
K18118,other,2,0,0,0,25630,27634,0,0,0,FALSE
K18330,other,0,0,1,1,25630,27634,1,0,0,FALSE
K18331,other,0,0,1,1,25630,27634,1,0,0,FALSE
K18332,other,1,1,1,1,25630,27634,2,0.23154,0.44797,FALSE
K19221,other,2,4,6,6,25630,27634,10,0.14273,0.29542,FALSE
K19222,other,2,0,0,0,25630,27634,0,0,0,FALSE
K19226,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K19227,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K19506,other,0,0,1,1,25630,27634,1,0,0,FALSE
K19507,other,0,0,1,1,25630,27634,1,0,0,FALSE
K19508,other,0,0,1,1,25630,27634,1,0,0,FALSE
K19509,other,0,0,2,2,25630,27634,2,0,0,FALSE
K20108,other,0,2,1,1,25630,27634,3,0.47179,0.70893,FALSE
K20116,other,13,0,17,17,25630,27634,17,0,0,FALSE
K20117,other,13,0,17,17,25630,27634,17,0,0,FALSE
K20459,other,3,1,3,3,25630,27634,4,0.053605,0.12273,FALSE
K20460,other,3,1,1,1,25630,27634,2,0.23154,0.44797,FALSE
K20461,other,3,1,2,2,25630,27634,3,0.11141,0.23553,FALSE
K20490,other,1,0,0,0,25630,27634,0,0,0,FALSE
K20491,other,1,0,0,0,25630,27634,0,0,0,FALSE
K20492,other,1,0,0,0,25630,27634,0,0,0,FALSE
K21636,other,530,121,121,121,25630,27634,242,0.25725,0.49449,FALSE
K22226,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
K22227,other,3,0,0,0,25630,27634,0,0,0,FALSE
K22477,other,0,0,1,1,25630,27634,1,0,0,FALSE
K22958,other,1,0,0,0,25630,27634,0,0,0,FALSE
K23059,other,3,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
K23060,other,3,3,0,0,25630,27634,3,0.86036,1,FALSE
K23163,other,2,2,2,2,25630,27634,4,0.28482,0.52946,FALSE
M01,other,4,4,0,0,25630,27634,4,0.92756,1,FALSE
M03B,other,12,3,4,4,25630,27634,7,0.19686,0.3924,FALSE
M05,other,1,0,0,0,25630,27634,0,0,0,FALSE
M06,other,36,34,0,0,25630,27634,34,1,1,FALSE
M09B,other,1,0,1,1,25630,27634,1,0,0,FALSE
M14A,other,19,0,9,9,25630,27634,9,0,0,FALSE
M14B,other,0,1,1,1,25630,27634,2,0.23154,0.44797,FALSE
M14C,other,10,0,2,2,25630,27634,2,0,0,FALSE
M15A,other,21,0,0,0,25630,27634,0,0,0,FALSE
M15C,other,38,8,20,20,25630,27634,28,0.0035224,0.0094089,FALSE
M15D,other,1,0,0,0,25630,27634,0,0,0,FALSE
M17,other,9,1,5,5,25630,27634,6,0.01241,0.031449,FALSE
M18,other,8,5,10,10,25630,27634,15,0.043828,0.10293,FALSE
M19,other,2,7,3,3,25630,27634,10,0.79555,1,FALSE
M20A,other,9,24,2,2,25630,27634,26,0.99999,1,FALSE
M20B,other,65,6,4,4,25630,27634,10,0.57598,0.83003,FALSE
M24A,other,10,9,9,9,25630,27634,18,0.34585,0.60588,FALSE
M24B,other,58,26,23,23,25630,27634,49,0.50819,0.74593,FALSE
M26,other,48,30,14,14,25630,27634,44,0.97893,1,FALSE
M28A,other,1,5,0,0,25630,27634,5,0.96242,1,FALSE
M28D,other,2,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
M28E,other,0,1,1,1,25630,27634,2,0.23154,0.44797,FALSE
M28F,other,3,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
M29,other,23,8,4,4,25630,27634,12,0.76777,0.98761,FALSE
M32,other,4,3,0,0,25630,27634,3,0.86036,1,FALSE
M38,other,13,2,5,5,25630,27634,7,0.051043,0.11917,FALSE
M41,other,147,4,19,19,25630,27634,23,1.2496e-4,3.6684e-4,FALSE
M48A,other,8,0,0,0,25630,27634,0,0,0,FALSE
M48B,other,15,13,0,0,25630,27634,13,0.9998,1,FALSE
M49,other,1,6,0,0,25630,27634,6,0.9805,1,FALSE
M50A,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
M50B,other,83,14,32,32,25630,27634,46,9.9093e-4,0.0027718,FALSE
M54,other,4,3,0,0,25630,27634,3,0.86036,1,FALSE
M55,other,5,1,3,3,25630,27634,4,0.053605,0.12273,FALSE
M61,other,1,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
M64,other,1,8,0,0,25630,27634,8,0.99475,1,FALSE
M75,other,3,4,0,0,25630,27634,4,0.92756,1,FALSE
M79,other,3,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
M81,other,0,0,1,1,25630,27634,1,0,0,FALSE
M82,other,2,2,0,0,25630,27634,2,0.73084,0.94937,FALSE
M90,other,0,4,0,0,25630,27634,4,0.92756,1,FALSE
M93,other,5,14,0,0,25630,27634,14,0.9999,1,FALSE
M95,other,3,7,1,1,25630,27634,8,0.95582,1,FALSE
M96,other,1,3,0,0,25630,27634,3,0.86036,1,FALSE
M97,other,4,14,0,0,25630,27634,14,0.9999,1,FALSE
N06,other,0,3,2,2,25630,27634,5,0.46476,0.70893,FALSE
N09,other,22,6,0,0,25630,27634,6,0.9805,1,FALSE
N11,other,201,9,0,0,25630,27634,9,0.99728000000000006,1,FALSE
P01,other,0,2,2,2,25630,27634,4,0.28482,0.52946,FALSE
S08A,other,36,0,9,9,25630,27634,9,0,0,FALSE
S09C,other,0,0,1,1,25630,27634,1,0,0,FALSE
S10,other,5,0,0,0,25630,27634,0,0,0,FALSE
S12,other,9,0,20,20,25630,27634,20,0,0,FALSE
S13,other,2,5,0,0,25630,27634,5,0.96242,1,FALSE
S15,other,5,1,2,2,25630,27634,3,0.11141,0.23553,FALSE
S16,other,1,0,1,1,25630,27634,1,0,0,FALSE
S26A,other,174,24,54,54,25630,27634,78,5.0691e-5,1.5182e-4,FALSE
S33,other,6,1,4,4,25630,27634,5,0.025792,0.062683,FALSE
S37,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
S41A,other,110,32,32,32,25630,27634,64,0.33455,0.59659,FALSE
S41B,other,4,8,1,1,25630,27634,9,0.97455,1,FALSE
S45,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
S46,other,4,9,0,0,25630,27634,9,0.99728000000000006,1,FALSE
S51,other,12,7,2,2,25630,27634,9,0.89023,1,FALSE
S66,other,8,4,2,2,25630,27634,6,0.62036,0.87485,FALSE
T02,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
T05,other,2,1,2,2,25630,27634,3,0.11141,0.23553,FALSE
T08,other,0,1,0,0,25630,27634,1,0.48119,0.70893,FALSE
U32,other,13,1,3,3,25630,27634,4,0.053605,0.12273,FALSE
U49,other,1,0,0,0,25630,27634,0,0,0,FALSE
U56,other,1,0,0,0,25630,27634,0,0,0,FALSE
U57,other,6,0,0,0,25630,27634,0,0,0,FALSE
U69,other,32,36,15,15,25630,27634,51,0.9949,1,FALSE
